"country","Feature","description","category","Total"
"Ghana","case_rec_ipv","Response to recall on IPV DOSE vaccine","No","2"
"Ghana","case_rec_ipv","Response to recall on IPV DOSE vaccine","Yes","5"
"Ghana","case_rec_ipv","Response to recall on IPV DOSE vaccine","Missing","3"
"Ghana","case_rec_meas1","Response to recall on MEASLES DOSE 1 vaccine","No","3"
"Ghana","case_rec_meas1","Response to recall on MEASLES DOSE 1 vaccine","Yes","7"
"Ghana","case_rec_meas2","Response to recall on RTSS DOSE 4 vaccine","No","3"
"Ghana","case_rec_meas2","Response to recall on RTSS DOSE 4 vaccine","Yes","7"
"Ghana","case_rec_menga","Response to recall on RTSS DOSE 4 vaccine","No","4"
"Ghana","case_rec_menga","Response to recall on RTSS DOSE 4 vaccine","Yes","4"
"Ghana","case_rec_menga","Response to recall on RTSS DOSE 4 vaccine","Missing","2"
"Ghana","case_rec_opv0","Response to recall on OPV  DOSE 0 vaccine","No","2"
"Ghana","case_rec_opv0","Response to recall on OPV  DOSE 0 vaccine","Yes","6"
"Ghana","case_rec_opv0","Response to recall on OPV  DOSE 0 vaccine","Missing","2"
"Ghana","case_rec_opv1","Response to recall on OPV DOSE 1 vaccine","No","2"
"Ghana","case_rec_opv1","Response to recall on OPV DOSE 1 vaccine","Yes","7"
"Ghana","case_rec_opv1","Response to recall on OPV DOSE 1 vaccine","Missing","1"
"Ghana","case_rec_opv2","Response to recall on OPV DOSE 2 vaccine","No","2"
"Ghana","case_rec_opv2","Response to recall on OPV DOSE 2 vaccine","Yes","6"
"Ghana","case_rec_opv2","Response to recall on OPV DOSE 2 vaccine","Missing","2"
"Ghana","case_rec_opv3","Response to recall on OPV DOSE 3 vaccine","No","2"
"Ghana","case_rec_opv3","Response to recall on OPV DOSE 3 vaccine","Yes","8"
"Ghana","case_rec_pcv1","Response to recall on PNEUMOCOCAL DOSE 1 vaccine","No","2"
"Ghana","case_rec_pcv1","Response to recall on PNEUMOCOCAL DOSE 1 vaccine","Yes","6"
"Ghana","case_rec_pcv1","Response to recall on PNEUMOCOCAL DOSE 1 vaccine","Missing","2"
"Ghana","case_rec_pcv2","Response to recall on PNEUMOCOCAL DOSE 2 vaccine","No","2"
"Ghana","case_rec_pcv2","Response to recall on PNEUMOCOCAL DOSE 2 vaccine","Yes","4"
"Ghana","case_rec_pcv2","Response to recall on PNEUMOCOCAL DOSE 2 vaccine","Missing","4"
"Ghana","case_rec_pcv3","Response to recall on PNEUMOCOCAL DOSE 3 vaccine","No","2"
"Ghana","case_rec_pcv3","Response to recall on PNEUMOCOCAL DOSE 3 vaccine","Yes","5"
"Ghana","case_rec_pcv3","Response to recall on PNEUMOCOCAL DOSE 3 vaccine","Missing","3"
"Ghana","case_rec_penta1","Response to recall on PENTAVALENT DOSE 1 vaccine","No","2"
"Ghana","case_rec_penta1","Response to recall on PENTAVALENT DOSE 1 vaccine","Yes","4"
"Ghana","case_rec_penta1","Response to recall on PENTAVALENT DOSE 1 vaccine","Missing","4"
"Ghana","case_rec_penta2","Response to recall on PENTAVALENT DOSE 2 vaccine","No","2"
"Ghana","case_rec_penta2","Response to recall on PENTAVALENT DOSE 2 vaccine","Yes","4"
"Ghana","case_rec_penta2","Response to recall on PENTAVALENT DOSE 2 vaccine","Missing","4"
"Ghana","case_rec_penta3","Response to recall on PENTAVALENT DOSE 3 vaccine","No","3"
"Ghana","case_rec_penta3","Response to recall on PENTAVALENT DOSE 3 vaccine","Yes","4"
"Ghana","case_rec_penta3","Response to recall on PENTAVALENT DOSE 3 vaccine","Missing","3"
"Ghana","case_rec_rota1","Response to recall on ROTAVIRUS DOSE 1 vaccine","No","3"
"Ghana","case_rec_rota1","Response to recall on ROTAVIRUS DOSE 1 vaccine","Yes","6"
"Ghana","case_rec_rota1","Response to recall on ROTAVIRUS DOSE 1 vaccine","Missing","1"
"Ghana","case_rec_rota2","Response to recall on ROTAVIRUS DOSE 2 vaccine","No","2"
"Ghana","case_rec_rota2","Response to recall on ROTAVIRUS DOSE 2 vaccine","Yes","8"
"Ghana","case_rec_rota3","Response to recall on ROTAVIRUS DOSE 3 vaccine","Missing","0"
"Ghana","case_rec_rota3","Response to recall on ROTAVIRUS DOSE 3 vaccine","Missing","9"
"Ghana","case_rec_rtss1","Response to recall on RTSS DOSE 1 vaccine","No","4"
"Ghana","case_rec_rtss1","Response to recall on RTSS DOSE 1 vaccine","Yes","2"
"Ghana","case_rec_rtss1","Response to recall on RTSS DOSE 1 vaccine","Missing","1"
"Ghana","case_rec_rtss1","Response to recall on RTSS DOSE 1 vaccine","Dont know","3"
"Ghana","case_rec_rtss2","Response to recall on RTSS DOSE 2 vaccine","No","4"
"Ghana","case_rec_rtss2","Response to recall on RTSS DOSE 2 vaccine","Yes","2"
"Ghana","case_rec_rtss2","Response to recall on RTSS DOSE 2 vaccine","Missing","1"
"Ghana","case_rec_rtss2","Response to recall on RTSS DOSE 2 vaccine","Dont know","3"
"Ghana","case_rec_rtss3","Response to recall on RTSS DOSE 3 vaccine","No","4"
"Ghana","case_rec_rtss3","Response to recall on RTSS DOSE 3 vaccine","Yes","2"
"Ghana","case_rec_rtss3","Response to recall on RTSS DOSE 3 vaccine","Missing","1"
"Ghana","case_rec_rtss3","Response to recall on RTSS DOSE 3 vaccine","Dont know","3"
"Ghana","case_rec_rtss4","Response to recall on RTSS DOSE 4 vaccine","No","5"
"Ghana","case_rec_rtss4","Response to recall on RTSS DOSE 4 vaccine","Yes","1"
"Ghana","case_rec_rtss4","Response to recall on RTSS DOSE 4 vaccine","Missing","1"
"Ghana","case_rec_rtss4","Response to recall on RTSS DOSE 4 vaccine","Dont know","3"
"Ghana","case_rec_yfever","Response to recall on YELLOW FEVER vaccine","No","4"
"Ghana","case_rec_yfever","Response to recall on YELLOW FEVER vaccine","Yes","5"
"Ghana","case_rec_yfever","Response to recall on YELLOW FEVER vaccine","Missing","1"
"Ghana","case_rota1","Whether card has information about ROTAVIRUS DOSE 1 vaccine","Missing","0"
"Ghana","case_rota1","Whether card has information about ROTAVIRUS DOSE 1 vaccine","Yes with date","9"
"Ghana","case_rota2","Whether card has information about ROTAVIRUS DOSE 2 vaccine","Missing","0"
"Ghana","case_rota2","Whether card has information about ROTAVIRUS DOSE 2 vaccine","Yes with date","9"
"Ghana","case_rota3","Whether card has information about ROTAVIRUS DOSE 3 vaccine","Missing","0"
"Ghana","case_rota3","Whether card has information about ROTAVIRUS DOSE 3 vaccine","Missing","9"
"Ghana","case_rtss1","Whether card has information about RTSS DOSE 1 vaccine","No","1"
"Ghana","case_rtss1","Whether card has information about RTSS DOSE 1 vaccine","No","4"
"Ghana","case_rtss1","Whether card has information about RTSS DOSE 1 vaccine","Yes with date","3"
"Ghana","case_rtss1","Whether card has information about RTSS DOSE 1 vaccine","NA","2"
"Ghana","case_rtss2","Whether card has information about RTSS DOSE 2 vaccine","Missing","0"
"Ghana","case_rtss2","Whether card has information about RTSS DOSE 2 vaccine","No","4"
"Ghana","case_rtss2","Whether card has information about RTSS DOSE 2 vaccine","Yes with date","3"
"Ghana","case_rtss2","Whether card has information about RTSS DOSE 2 vaccine","NA","2"
"Ghana","case_rtss3","Whether card has information about RTSS DOSE 3 vaccine","Missing","0"
"Ghana","case_rtss3","Whether card has information about RTSS DOSE 3 vaccine","No","4"
"Ghana","case_rtss3","Whether card has information about RTSS DOSE 3 vaccine","Yes with date","3"
"Ghana","case_rtss3","Whether card has information about RTSS DOSE 3 vaccine","NA","2"
"Ghana","case_rtss4","Whether card has information about RTSS DOSE 4 vaccine","Missing","0"
"Ghana","case_rtss4","Whether card has information about RTSS DOSE 4 vaccine","No","5"
"Ghana","case_rtss4","Whether card has information about RTSS DOSE 4 vaccine","Yes with date","2"
"Ghana","case_rtss4","Whether card has information about RTSS DOSE 4 vaccine","NA","2"
"Ghana","case_sdist","Distance from the household to the hospital kilometers","less than 1km","1"
"Ghana","case_sdist","Distance from the household to the hospital kilometers","1-4kms.","3"
"Ghana","case_sdist","Distance from the household to the hospital kilometers","5-10kms","2"
"Ghana","case_sdist","Distance from the household to the hospital kilometers","10km or more","4"
"Ghana","case_vacc_lpoint","The place where child of interest most recently received vaccine","local health centre(Government)","4"
"Ghana","case_vacc_lpoint","The place where child of interest most recently received vaccine","local health centre(Private)","2"
"Ghana","case_vacc_lpoint","The place where child of interest most recently received vaccine","Mobile clinic","3"
"Ghana","case_vacc_lpoint","The place where child of interest most recently received vaccine","Missing","1"
"Ghana","case_vacc_photo","Whether a snapshot/photo of the DOCUMENTED VACCINE has been taken","No","1"
"Ghana","case_vacc_photo","Whether a snapshot/photo of the DOCUMENTED VACCINE has been taken","Yes","9"
"Ghana","case_vacc_rpoint","The place where child of interest routinely receives vaccines","local health centre(Government)","4"
"Ghana","case_vacc_rpoint","The place where child of interest routinely receives vaccines","local health centre(Private)","2"
"Ghana","case_vacc_rpoint","The place where child of interest routinely receives vaccines","Mobile clinic","3"
"Ghana","case_vacc_rpoint","The place where child of interest routinely receives vaccines","Other","1"
"Ghana","case_yfever","Whether card has information about YELLOW FEVER vaccine","Missing","0"
"Ghana","case_yfever","Whether card has information about YELLOW FEVER vaccine","No","1"
"Ghana","case_yfever","Whether card has information about YELLOW FEVER vaccine","Yes with date","8"
